Policy,Protocol,MessageSizeKB,TransferTimeSeconds,ThroughputKbps
FCFS,tcp,1,0.000139458,57364.9
FCFS,tcp,2,0.000124,129032
FCFS,tcp,3,0.00011475,209150
FCFS,tcp,4,9.1291e-05,350527
FCFS,tcp,5,8.8042e-05,454329
FCFS,tcp,6,0.000101667,472130
FCFS,tcp,7,0.000133584,419212
FCFS,tcp,8,0.000169458,377675
FCFS,tcp,9,0.000134625,534819
FCFS,tcp,10,0.000132542,603582
FCFS,tcp,11,0.000113541,775050
FCFS,tcp,12,0.000139333,688997
FCFS,tcp,13,0.000121208,858029
FCFS,tcp,14,0.000129542,864584
FCFS,tcp,15,0.000122459,979920
FCFS,tcp,16,0.000126208,1.0142e+06
FCFS,tcp,17,0.00013025,1.04415e+06
FCFS,tcp,18,0.000144125,999133
FCFS,tcp,19,0.0001445,1.0519e+06
FCFS,tcp,20,0.0001205,1.3278e+06
FCFS,tcp,21,0.00012375,1.35758e+06
FCFS,tcp,22,0.000134292,1.31058e+06
FCFS,tcp,23,0.000142167,1.29425e+06
FCFS,tcp,24,0.000131416,1.46101e+06
FCFS,tcp,25,0.000130291,1.53503e+06
FCFS,tcp,26,0.000135209,1.53836e+06
FCFS,tcp,27,0.000142709,1.51357e+06
FCFS,tcp,28,0.000126875,1.76552e+06
FCFS,tcp,29,0.000172417,1.34557e+06
FCFS,tcp,30,0.000116834,2.0542e+06
FCFS,tcp,31,0.000128125,1.93561e+06
FCFS,tcp,32,0.000142959,1.79072e+06
FCFS,udp,1,0.000160208,49935.1
FCFS,udp,2,0.000118917,134548
FCFS,udp,3,0.000165375,145125
FCFS,udp,4,9.2e-05,347826
FCFS,udp,5,0.000126625,315893
FCFS,udp,6,0.0001365,351648
FCFS,udp,7,0.000113625,492849
FCFS,udp,8,9.4875e-05,674572
FCFS,udp,9,0.000113791,632739
FCFS,udp,10,0.000101375,789149
FCFS,udp,11,0.00011875,741053
FCFS,udp,12,9.8792e-05,971739
FCFS,udp,13,0.000960041,108329
FCFS,udp,14,0.000129459,865139
FCFS,udp,15,0.000619334,193757
FCFS,udp,16,9.2125e-05,1.38942e+06
FCFS,udp,17,0.000138667,980767
