Policy,Protocol,MessageSizeKB,TransferTimeSeconds,ThroughputKbps
RR,tcp,1,0.000181,44198.9
RR,tcp,2,9.1208e-05,175423
RR,tcp,3,9.0209e-05,266049
RR,tcp,4,0.000102458,312323
RR,tcp,5,0.000187459,213380
RR,tcp,6,0.000144791,331512
RR,tcp,7,9.8292e-05,569731
RR,tcp,8,0.0001065,600939
RR,tcp,9,0.000113792,632733
RR,tcp,10,0.000109333,731710
RR,tcp,11,0.000136541,644495
RR,tcp,12,0.00014325,670157
RR,tcp,13,0.000147875,703297
RR,tcp,14,0.000104959,1.06708e+06
RR,tcp,15,0.000132542,905373
RR,tcp,16,0.000149708,854998
RR,tcp,17,0.00013725,990893
RR,tcp,18,0.000144792,994530
RR,tcp,19,0.00013675,1.11152e+06
RR,tcp,20,0.000134458,1.18996e+06
RR,tcp,21,0.000131167,1.28081e+06
RR,tcp,22,0.000145375,1.21066e+06
RR,tcp,23,0.00012525,1.46906e+06
RR,tcp,24,0.0001355,1.41697e+06
RR,tcp,25,0.00015675,1.27592e+06
RR,tcp,26,0.000132083,1.57477e+06
RR,tcp,27,0.000142875,1.51181e+06
RR,tcp,28,0.000133792,1.67424e+06
RR,tcp,29,0.000133542,1.73728e+06
RR,tcp,30,0.000139208,1.72404e+06
RR,tcp,31,0.000168958,1.46782e+06
RR,tcp,32,0.000142667,1.79439e+06
RR,udp,1,0.000113167,70692
RR,udp,2,0.000114458,139789
RR,udp,3,0.000103417,232070
RR,udp,4,9.6292e-05,332323
RR,udp,5,9.5792e-05,417571
RR,udp,6,0.00010425,460432
RR,udp,7,9.6708e-05,579063
RR,udp,8,0.000110375,579841
RR,udp,9,9.9542e-05,723313
RR,udp,10,9.925e-05,806045
RR,udp,11,0.000110333,797585
RR,udp,12,8.5875e-05,1.1179e+06
RR,udp,13,0.000117875,882291
RR,udp,14,0.000102167,1.09624e+06
RR,udp,15,0.00011075,1.08352e+06
RR,udp,16,0.000103792,1.23324e+06
RR,udp,17,0.000122,1.11475e+06
RR,udp,18,0.000106083,1.35743e+06
RR,udp,19,0.000101167,1.50247e+06
RR,udp,20,0.000106292,1.50529e+06
RR,udp,21,0.000116333,1.44413e+06
RR,udp,22,0.000118125,1.48995e+06
